,No.,INSTITUTE NAME AND ADDRESS,DISTRICT,Est. Year,TYPE,ANM,GNM,B.Sc,P.B.Sc,M.Sc,NPM,NPCC,E-mail ID,Phone No.(Office),Phone No.(Principal),Phone No.(FAX),Last Insp. Date,YES/No
197,198.0,"Shree Swaminarayan School of Nursing, Nr. Rander Road, Adajan, Dist: Surat -395 009",Surat,2011,SFI,30,--,--,--,--,--,--,ssnursingsurat@gmail.com, 0261 2760921 ,"9879615552,
9712237781
(T)9825726019 ",,18-19/05/2016,NO
198,199.0,"Shri Sanket Patel Memorial Nursing College, Nr. Mosali Cross Road, AT: Vasravi, Mangrol, Dist: Surat",Surat,2017,SFI,--,50,--,--,--,--,--,shriopc@gmail.com,9876543737,"9825018544
(T)9376122664 ",,30th & 31st May 2018,NO
199,200.0,"Smt. Raniben Madhabhai Bhadarka Nursing College, National Highway No. 8, Baleshwar Patia, Opp. Aman Hotel, Tal: Palsana, Dist: Surat-394317",Surat,2018,SFI,--,40,40,--,--,--,--,jmbhadarkasvs@yahoo.com,9687699334,"9687699335,
9824571761",,20th & 21st July 2018,NO
200,201.0,"SSTJ School of Nursing, Shree Prannath Hospital, Shree Prannath Marg,  Ved Road, Surat- 395004",Surat,2016,SFI,20,40,--,--,--,--,--,sstjnursingsurat@gmail.com ,0261 2510050 ,"9512039008
(T)9879615552 ",,06-07/06/2017,NO
201,202.0,"T. & T.V.College of Nursing, Ashaktashram hospital, Rampura,Surat",Surat,2006,SFI,--,40,50,--,--,--,--,tntvprincipal@gmail.com,0261 2422062,"8401376399
(T) 9374715292 ",0261  2422062,13-14/05/2016,NO
202,203.0,"The Vibrant Nursing College, At: Masma, Surat -olpad  Road, Dist : Surat, ",Surat,2017,SFI,60,60,60,30,--,--,--,vibrantnursingsurat@gmail.com, 0261 6544179,"9512039002
(T)9825726019",,20-21/09/2017,NO
203,204.0,"Vanita Vishram School of Nursing, Vanita Vishram Campus, Athwagate, Surat ",Surat,2011,SFI,30,30,--,--,--,--,--,vvnursing2011@yahoo.co.in, 0261 2300227/28,"9825350807
9265411275
(T) 9374715292",0261 2660544,20th & 21st July 2018,NO
204,205.0,"Vidhyadeep School of Nursing, At – Anita (KIM), Ta : Olpad, Dist: Surat",Surat,2016,SFI,40,55,55,30,--,--,--,vidhyadeeptrust@gmail.com," 7567489888
 02661  249034","7773865676
(T)9879524787 ",,5th & 6th July 2018,NO
205,206.0,"ANM School, Community Health Centre, Chotila",Surendranagar,2008,GOV,20,--,--,--,--,--,--,"anm.chotila@gmail.com
anmschoolchotila@gmail.com", 02751 281600,,02751 281600,09-10/05/2014,YES
206,207.0,"ANM School, R.R. General Hospital, Limbdi",Surendranagar,2008,GOV,20,--,--,--,--,--,--,anm.limbdi@gmail.com,02753 263163,8530448990,,05-06/05/2014,YES
207,208.0,"School of Nursing, M.G.S. Hospital, Surendranagar",Surendranagar,"1987,
Re-2005",GOV,--,20,--,--,--,--,--,gnssunr@yahoo.in, 02752 222052,,02752 224052,25th & 26th May 2018,NO
208,209.0,"C.U.Shah Institute  of Nursing, C.U.Shah University, Ahmedabad State  Highwy, Wadhwan City, Surendranagar.",Surendranagar,2016,SFI,30,40,40,--,--,--,--,binu_joe@redifffmail.com deannursing@cushahuniversity.org, 02752-294005,"9685059611
7869523896
(T)9099222277", 02752-247712 ,24th & 25th May 2018,NO
209,210.0,"Maa Sharda School of Nursing, Trimurthi School Campus, 9 M G Road, Lati Bazar, Joravarnagar, Surendranagar",Surendranagar,2016,SFI,20,--,--,--,--,--,--,ravaljc@gmail.com, 02752-224177,"9825524177,
9525524177
(T) 9638884355           ",,10-11/08/2017,NO
210,211.0,"Sandra Shroff Rofell College of Nursing,Post Box No.125, plot no. 14/5,GIDC Area, Vapi-396195",Tapi,2002,SFI,--,--,40,--,15,--,--,ssrcn2003@yahoo.com,"0260-2467294/246754.
2467600","
(M)7623854046 ,
9825155517 , 
9825128448",2467544,2nd & 3rd July 2018,NO
211,212.0,"School of Nursing, CHC & Referal Hospital,Vyara",Tapi,2008,GOV,30,30,--,--,--,--,--,principalgnmvyara123@gmail.com, 02626 220053,,02626 220053,15-16/04/2015,NO
212,213.0,"Government College of Nursing, Government Hospital, Devka Beach Road, Nr. Sun Resort, At: Marwad, Daman",U.T.,2017,GOV,--,--,50,--,--,--,--,govtcollegeofnursingdaman@gmail.com,0260-2255333,9998693183,,24th & 25th May 2018,NO
213,214.0,"Shri Vinobabhave College of Nursing, Shri Vinoba Bhave Civil Hospital, Silvassa",U.T.,2008,GOV,--,--,60,--,20,--,--,principalsvbch.sil@gmail.com,0260-2640180,9655551262,,07-08/07/2017,NO
214,215.0,"ANM School, Divisional Training Center, At: Padra, Dist: Vadodara",Vadodara,2011,GOV,20,--,--,--,--,--,--,"anm.padra@gmail.com
anm_padra@yahoo.com",02662 222598,,,24th May 2018,NO
215,216.0,"Bankers Nursing Institute, B/h Navapura School, Nr.Ranu- Borsad Chokdi, Padra Jambusar Road, At: & Post: Mahuvad, Tal: Padra, Dist: Vadodara - 391440 ",Vadodara,2009,SFI,20,50,--,--,--,--,--,bankersnursing@gmail.com, 02662 244330,"9601257566
(T)9724502066 ",02652 2327401,07-08/07/2017,NO
216,217.0,"Government College of Nursing, Vaccine Campus, Old Padra Road, Vadodara - 390 015",Vadodara,1928,GOV,30,--,50,--,--,20,--,pconbrd@gmail.com, 0265-2414730,"
(M)9265968229,
 9898523436 ",,20th & 21st July 2018,NO
217,218.0,"Indu Nursing School, Vallabh – Seva, Niketan Trust, Sevasi –Koyali Road, Ankolia, Vadodara ",Vadodara,2010,SFI,20,40,--,--,--,--,--,indunsgschool@gmail.com, 0265   2661558,"9428301401
9537332733
(T)9825017334  
", 0265   2233220 ,5th & 6th July 2018,NO
218,219.0,"J K College of Nursing, , Medhad Bus Stand onPadrakajan Road, , Ahead of Anastujain, At:: Padra, , Dist: Vadodara",Vadodara,2017,SFI,--,--,30,--,--,--,--,"pscthospital@gmail.com
","9909204950
9726763874
8530933850",,,6th & 7th June 2018,NO
219,220.0,"Munisevashram School of Nursing, Goraj-391760, Vadodara",Vadodara,2003,SFI,30,50,30,20,--,--,--,munisevanursingschool@yahoo.co.in, 0265 3961300 ,"9558649795
(T) 9428766544
",02668 268048,24th & 25th May 2018,NO
220,221.0,"Nrupur Institute of Nursing & Reserch, All India Institute of Local Self Govt.Nr. Sardar Estate, Ajwa Waghodia ring road, Vadodara",Vadodara,2003,SFI,30,40,--,30,--,--,--,nrupurnursing@yahoo.com, 0265-2513241,"7383770795
(T)9426302311
",0265- 2568293 ,21-22/04/2015,NO
221,222.0,"Parul Institute of Nursing, Post: Limda, Tal: Waghodia, Dist: Vadodara",Vadodara,2013,SFI,20,70,70,--,20,--,--,pin@paruluniversity.ac.in, 02668 260322,"9727309434
7359621450
(T)9978444697  ",02668 260322,6th & 7th July 2018,NO
222,223.0,"Pioneer Nursing College, Pioneer Medical Campus, Nr. Ajwa Chowkdi, N.H-8 Ajwa-nimeta road, Post: Sayajipura, Vadodara",Vadodara,2012,SFI,--,50,60,--,20,--,10,pnc_ogect@hotmail.com,02650 2577143,"9925886120
(T)9824011693", 0265-2986000,02-03/06/2017,NO
223,224.0,"Royal International School of Nursing, Royal Knowledge City, Nr. Ajwa Garden,Village: Raval, Tal: Waghodia,Dist: Vadodara ",Vadodara,2012,SFI,20,40,--,--,--,--,--,risn.nursing@gmail.com, 02668-290541," 9574005010
9574005001
(T)9904409050  ",,19-20/05/2014,YES
224,225.0,"Sigma Institute of Nursing, At: Bakrol, Ajwa Nimeta Road, Tal: Waghodia, Dist: Vadodara – 390019",Vadodara,2007,SFI,--,40,40,--,--,--,--,principalnursing@sigma.ac.in                 shanta.ns@sigma.ac.in , 02668 2670000  ," 9909910722
(T)9909976800
",,13th &14th June 2018,NO
225,226.0,"Sumandeep College of Nursing, K. M. Shah Charitable Trust Campus, At: Piparia, Tal :Waghodia,Dist:Vadodara",Vadodara,2006,SFI,30,60,100,40,40,--,10,principal.nursing@sumandeepuniversity.co.in,,7567253559,,11th & 12th June 2018,NO
226,227.0,"Tirupati School of Nursing, Shardamandir High School, VInoba Bhave Road, Salatwada, Vadodara – 390 003",Vadodara,2013,SFI,30,--,--,--,--,--,--,"tirupatinursingschool55@gmail.com, dharmesh_tirupati@rediffmail.com","0265-2430023
7202015533 ","9909142678
972770677
 (T) 9825555158             ",,12-13/05/2014,YES
227,228.0,"ANM School, At: Nanapondha, Dist: Valsad",Valsad,2017,GOV,20,--,--,--,--,--,--,anmnanapondha@gmail.com, 02633-250755,,,29th May 2018,NO
228,229.0,"School of Nursing, State Hospital, Garden Road, Dharampur",Valsad,2015,GOV,--,30,--,--,--,--,--,"gnmschool.dharampur@gmail.com
statehosp.dharampur@gmail.com","02633 243044
02633 243044",,,10-11/04/2017,NO
229,230.0,"Saraswati ANM School, Navi Nagari, Kotiav(Umarsadi), Tal: Pardi, Dist: Valsad",Valsad,2010,SFI,30,--,40,--,--,--,--,saraswatianm86@gmail.com,8238705429,"(T)9898847080,    ",,4th & 5th July 2018,NO
230,231.0,"Shree Nootan Kelvani Madal Nursing School, Dr. Moghabhai Vidhya Sankul, Shri Morarji Nagar, Tithal Road, Valsad – 396 001",Valsad,2011,SFI,--,50,40,--,--,--,--,nkmnursing@gmail.com, 02632-258412,"9824521605
(T)9825122843
",,11th & 12th June 2018,NO
231,,,,,,4025,7300,5785,700,453,,,,,,,,
